row_id,utr,credit,value_date,memo,ingested_at
bnk-000001,DYNE26080210001,"₹61,840.92",08/02/2026 15:45,NEFT CR-RAZORPAY SETTLEMENT-DYNE26080210001-MERCH-DYNE,2026-08-02T12:37:00Z
bnk-000002,CRUX26080310002,"₹68,529.02",2026-08-04T01:51:00Z,NEFT CR-RAZORPAY SETTLEMENT-CRUX26080310002-MERCH-CRUX,2026-08-03T21:26:00Z
bnk-000003,DYNE26080410003,"₹45,969.80",2026-08-04 15:18:00,NEFT CR-RAZORPAY SETTLEMENT-DYNE26080410003-MERCH-DYNE,2026-08-04T10:09:00Z
bnk-000004,DYNE26080510004,"1,12,335.17",08/05/2026 09:17,NEFT CR-RAZORPAY SETTLEMENT-DYNE26080510004-MERCH-DYNE,2026-08-05T04:53:00Z
bnk-000005,CRUX26080610005,"39,108.60",2026-08-06T15:04:00Z,NEFT CR-RAZORPAY SETTLEMENT-CRUX26080610005-MERCH-CRUX,2026-08-06T11:40:00Z
bnk-000006,ACME26080710006,"₹72,742.46",2026-08-08T02:10:00Z,NEFT CR-RAZORPAY SETTLEMENT-ACME26080710006-MERCH-ACME,2026-08-07T22:09:00Z
bnk-000007,DYNE26080810007,"₹57,887.78",08/08/2026 15:12,NEFT CR-RAZORPAY SETTLEMENT-DYNE26080810007-MERCH-DYNE,2026-08-08T11:25:00Z
bnk-000008,ACME26080910008,"₹57,758.75",08/09/2026 17:40,NEFT CR-RAZORPAY SETTLEMENT-ACME26080910008-MERCH-ACME,2026-08-09T14:54:00Z
bnk-000009,CRUX26081010009,"Rs. 1,29,627.78",2026-08-11 00:55:00,NEFT CR-RAZORPAY SETTLEMENT-CRUX26081010009-MERCH-CRUX,2026-08-10T19:36:00Z
bnk-000010,BOLT26081110010,"Rs. 1,15,597.41",2026-08-11 15:07:00,NEFT CR-RAZORPAY SETTLEMENT-BOLT26081110010-MERCH-BOLT,2026-08-11T15:30:00Z
bnk-000011,EVER26081210011,"₹1,47,030.61",2026-08-15 02:45:00,NEFT CR-RAZORPAY SETTLEMENT-EVER26081210011-MERCH-EVER,2026-08-14T22:32:00Z
bnk-000012,DYNE26081310012,"₹1,20,899.73",2026-08-13 19:24:00,NEFT CR-RAZORPAY SETTLEMENT-DYNE26081310012-MERCH-DYNE,2026-08-13T16:22:00Z
bnk-000013,EVER26081410013,"₹48,432.13",2026-08-15T02:04:00Z,NEFT CR-RAZORPAY SETTLEMENT-EVER26081410013-MERCH-EVER,2026-08-14T22:15:00Z
bnk-000014,BOLT26081510014,"Rs. 38,603.13",08/15/2026 12:12,NEFT CR-RAZORPAY SETTLEMENT-BOLT26081510014-MERCH-BOLT,2026-08-15T09:00:00Z
bnk-000015,EVER26080210015,49768.47,2026-08-02 22:27:00,NEFT CR-RAZORPAY SETTLEMENT-EVER26080210015-MERCH-EVER,2026-08-02T20:11:00Z
bnk-000016,EVER26081710016,"1,18,061.82",2026-08-17T13:03:00Z,NEFT CR-RAZORPAY SETTLEMENT-EVER26081710016-MERCH-EVER,2026-08-17T11:21:00Z
bnk-000017,BOLT26081810017,79179.27,08/19/2026 05:48,NEFT CR-RAZORPAY SETTLEMENT-BOLT26081810017-MERCH-BOLT,2026-08-19T04:32:00Z
bnk-000018,EVER26081910018,"84,698.46",08/19/2026 09:58,NEFT CR-RAZORPAY SETTLEMENT-EVER26081910018-MERCH-EVER,2026-08-19T06:11:00Z
bnk-000019,ACME26082010019,78690.57,2026-08-20 12:43:00,NEFT CR-RAZORPAY SETTLEMENT-ACME26082010019-MERCH-ACME,2026-08-20T09:51:00Z
bnk-000020,ACME26082110020,"₹69,621.15",08/22/2026 01:03,NEFT CR-RAZORPAY SETTLEMENT-ACME26082110020-MERCH-ACME,2026-08-21T21:48:00Z
bnk-000021,ACME26082110020,"₹69,621.15",08/22/2026 01:03,NEFT CR-RAZORPAY SETTLEMENT-ACME26082110020-MERCH-ACME,2026-08-21T21:48:00Z
bnk-000022,ACME26082210021,"48,162.44",2026-08-22T10:00:00Z,NEFT CR-RAZORPAY SETTLEMENT-ACME26082210021-MERCH-ACME,2026-08-22T10:32:00Z
bnk-000023,ACME26082310022,"₹56,037.66",2026-08-23 21:11:00,NEFT CR-RAZORPAY SETTLEMENT-ACME26082310022-MERCH-ACME,2026-08-23T19:40:00Z
bnk-000024,DYNE26082410023,"₹71,555.36",2026-08-25T11:57:00Z,NEFT CR-RAZORPAY SETTLEMENT-DYNE26082410023-MERCH-DYNE,2026-08-25T07:42:00Z
bnk-000025,ACME26080210024,49662.70,08/03/2026 02:00,NEFT CR-RAZORPAY SETTLEMENT-ACME26080210024-MERCH-ACME,2026-08-03T00:06:00Z
