case_id,settlement_id,merchant_id,razorpay_payment_ids,settlement_amount,bank_credit,fee,refund,utr,event_time,decision_time,policy_version,agent_claim
H01,S-80001,MERCH-BOLT,pay_8000100;pay_8000101;pay_8000102;pay_8000103,7819.78,7819.78,211.20,0.00,BOLT26082080001,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H02,S-80002,MERCH-CRUX,pay_8000200;pay_8000201;pay_8000202;pay_8000203,"₹7,819.77","₹7,819.77",₹211.21,₹0.00,CRUX26082080002,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H03,S-80003,MERCH-DYNE,pay_8000300;pay_8000301;pay_8000302;pay_8000303,"Rs. 7,919.78","Rs. 7,919.78",Rs. 111.20,Rs. 0.00,DYNE26082080003,2026-08-20 14:00:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H04,S-80004,MERCH-EVER,pay_8000400;pay_8000401;pay_8000402;pay_8000403,"7,919.79","7,919.79",111.19,0.00,EVER26082080004,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H05,S-80005,MERCH-ACME,pay_8000500;pay_8000501;pay_8000502;pay_8000503,7669.78,7669.78,361.20,0.00,ACME26082080005,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H06,S-80006,MERCH-BOLT,pay_8000600;pay_8000601;pay_8000602;pay_8000603,"₹7,669.78","₹7,669.78",₹361.20,₹0.00,BOLT26082080006,2026-08-20 14:00:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H07,S-80007,MERCH-CRUX,pay_8000700;pay_8000701;pay_8000702;pay_8000703,"Rs. 7,869.78","Rs. 7,869.78",Rs. 161.20,Rs. 0.00,CRUX26082080007,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H08,S-80008,MERCH-DYNE,pay_8000800;pay_8000801;pay_8000802;pay_8000803,"7,669.78","7,669.78",361.20,0.00,DYNE26082080008,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v14,RECONCILED
H09,S-80009,MERCH-EVER,pay_8000900;pay_8000901;pay_8000902;pay_8000903;pay_8000904;pay_8000905,20492.00,20492.00,481.35,0.00,EVER26090280009,2026-09-02 14:00:00,2026-09-03T12:00:00Z,finance-policy-v14,RECONCILED
H10,S-80010,MERCH-ACME,pay_8001000;pay_8001001;pay_8001002;pay_8001003;pay_8001004;pay_8001005,"Rs. 20,552.15","Rs. 20,552.15",Rs. 421.20,Rs. 0.00,ACME26090280010,2026-09-02T14:00:00Z,2026-09-03T12:00:00Z,finance-policy-v14,RECONCILED
H11,S-80011,MERCH-BOLT,pay_8001100;pay_8001101;pay_8001102;pay_8001103;pay_8001104,"12,228.29","12,228.29",315.00,0.00,BOLT26090280011,09/02/2026 14:00,2026-09-03T12:00:00Z,finance-policy-v14,RECONCILED
H12,S-80012,MERCH-CRUX,pay_8001200;pay_8001201;pay_8001202;pay_8001203;pay_8001204;pay_8001205,19292.00,19292.00,481.35,1200.00,CRUX26090280012,2026-09-02 14:00:00,2026-09-03T12:00:00Z,finance-policy-v14,RECONCILED
H13,S-80013,MERCH-DYNE,pay_8001300;pay_8001301;pay_8001302;pay_8001303,"₹7,869.78","₹7,869.78",₹161.20,₹0.00,DYNE26082080013,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H14,S-80014,MERCH-EVER,pay_8001400;pay_8001401;pay_8001402;pay_8001403,"Rs. 7,869.78","Rs. 7,869.78",Rs. 161.20,Rs. 0.00,EVER26082080014,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H15,S-80015,MERCH-ACME,pay_8001500;pay_8001501;pay_8001502;pay_8001503,"7,669.78","7,669.78",361.20,0.00,ACME26082080015,2026-08-20 14:00:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H16,S-80016,MERCH-BOLT,pay_8001600;pay_8001601;pay_8001602;pay_8001603,7869.78,7869.78,161.20,0.00,BOLT26082080016,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H17,S-80017,MERCH-CRUX,pay_8001700;pay_8001701;pay_8001702,-₹142.31,₹0.00,₹120.60,"₹6,030.00",CRUX26082080017,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H18,S-80018,MERCH-DYNE,pay_8001800;pay_8001801;pay_8001802,Rs. 0.00,Rs. 0.00,Rs. 120.60,"Rs. 1,000.00",DYNE26082080018,2026-08-20 14:00:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H19,S-80019,MERCH-EVER,pay_8001900;pay_8001901;pay_8001902,0.00,0.00,120.60,0.00,EVER26082080019,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H20,S-80020,MERCH-ACME,pay_8002000;pay_8002001;pay_8002002,-₹142.31,-₹142.31,₹120.60,"₹6,030.00",ACME26082080020,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H21,S-80021,MERCH-BOLT,pay_8002100;pay_8002101;pay_8002102,"Rs. 5,887.69","Rs. 5,887.69",Rs. 120.60,Rs. 900.00,BOLT26082080021,2026-08-20 14:00:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H22,S-80022,MERCH-CRUX,pay_8002200;pay_8002201;pay_8002202,"5,887.69","5,887.69",120.60,0.00,CRUX26082080022,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H23,S-80023,MERCH-DYNE,pay_8002300;pay_8002301;pay_8002302,5887.69,5887.69,120.60,0.00,DYNE26082080023,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H24,S-80024,MERCH-EVER,pay_8002400;pay_8002401;pay_8002402;pay_8002403,"₹7,869.78","₹7,869.78",₹161.20,₹0.00,EVER26082080024,2026-08-20 14:00:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H25,S-80025,MERCH-ACME,pay_8002500;pay_8002501;pay_8002502,"Rs. 5,887.69","Rs. 5,887.69",Rs. 120.60,Rs. 0.00,ACME26082080025,2026-08-20T14:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H26,S-80026,MERCH-BOLT,pay_8002600;pay_8002601;pay_8002602,"6,387.69","6,387.69",120.60,0.00,BOLT26082080026,08/20/2026 14:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H27,S-80027,MERCH-CRUX,pay_8002700;pay_8002701;pay_8002702,-3112.31,-3112.31,120.60,9000.00,CRUX26082080027,2026-08-20 14:00:00,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
H28,S-80028,MERCH-DYNE,,-₹100.00,₹0.00,₹0.00,₹0.00,DYNE26082180028,2026-08-21T02:00:00Z,2026-08-21T12:00:00Z,finance-policy-v13,RECONCILED
