row_id,hold_id,settlement_id,amount_paise,reason,placed_at,ingested_at
hld-000001,hold_10014,S-10014,208350,rolling_reserve,2026-08-15T06:12:00Z,2026-08-15T09:00:00Z
hld-000002,hold_10051,S-10051,211226,rolling_reserve,2026-08-06T08:27:00Z,2026-08-06T16:00:00Z
hld-000003,hold_10057,S-10057,864901,rolling_reserve,2026-08-12T12:38:00Z,2026-08-12T20:31:00Z
hld-000004,hold_10058,S-10058,674100,rolling_reserve,2026-08-13T13:28:00Z,2026-08-13T21:50:00Z
hld-000005,hold_10068,S-10068,476165,rolling_reserve,2026-08-23T05:18:00Z,2026-08-23T12:36:00Z
hld-000006,hold_10069,S-10069,1045321,rolling_reserve,2026-08-24T03:50:00Z,2026-08-24T09:43:00Z
hld-000007,hold_10076,S-10076,229293,rolling_reserve,2026-08-08T10:21:00Z,2026-08-08T19:13:00Z
hld-000008,hold_10087,S-10087,795011,rolling_reserve,2026-08-19T10:17:00Z,2026-08-19T15:50:00Z
hld-000009,hold_80018,S-80018,488769,rolling_reserve,2026-08-20T14:00:00Z,2026-08-21T06:00:00Z
hld-000010,hold_80019,S-80019,588769,rolling_reserve,2026-08-20T14:00:00Z,2026-08-21T06:00:00Z
hld-000011,hold_80026,S-80026,-50000,rolling_reserve,2026-08-20T14:00:00Z,2026-08-21T06:00:00Z
hld-000012,hold_80028,S-80028,10000,rolling_reserve,2026-08-21T02:00:00Z,2026-08-21T06:00:00Z
