row_id,payment_id,settlement_id,amount_paise,fee_paise,tax_paise,captured_at,ingested_at
pay-000001,pay_1000100,S-10001,2497105,49942,8990,2026-08-01T12:45:00Z,2026-08-02T12:37:00Z
pay-000002,pay_1000101,S-10001,2211383,44228,7961,2026-08-01T22:45:00Z,2026-08-02T12:37:00Z
pay-000003,pay_1000102,S-10001,1507843,30157,5428,2026-07-31T09:45:00Z,2026-08-02T12:37:00Z
pay-000004,pay_1000103,S-10001,117234,2345,422,2026-08-01T06:45:00Z,2026-08-02T12:37:00Z
pay-000005,pay_1000200,S-10002,2132294,42646,7676,2026-08-01T21:51:00Z,2026-08-03T21:26:00Z
pay-000006,pay_1000201,S-10002,1078717,21574,3883,2026-08-02T06:51:00Z,2026-08-03T21:26:00Z
pay-000007,pay_1000202,S-10002,1052549,21051,3789,2026-08-03T06:51:00Z,2026-08-03T21:26:00Z
pay-000008,pay_1000203,S-10002,2295607,45912,8264,2026-08-01T19:51:00Z,2026-08-03T21:26:00Z
pay-000009,pay_1000204,S-10002,459371,9187,1654,2026-08-02T21:51:00Z,2026-08-03T21:26:00Z
pay-000010,pay_1000300,S-10003,1869149,37383,6729,2026-08-03T19:18:00Z,2026-08-04T10:09:00Z
pay-000011,pay_1000301,S-10003,632217,12644,2276,2026-08-03T16:18:00Z,2026-08-04T10:09:00Z
pay-000012,pay_1000302,S-10003,2206725,44135,7944,2026-08-03T15:18:00Z,2026-08-04T10:09:00Z
pay-000013,pay_1000400,S-10004,893739,17875,3218,2026-08-04T08:17:00Z,2026-08-05T04:53:00Z
pay-000014,pay_1000401,S-10004,1414149,28283,5091,2026-08-04T17:17:00Z,2026-08-05T04:53:00Z
pay-000015,pay_1000402,S-10004,2093634,41873,7537,2026-08-04T23:17:00Z,2026-08-05T04:53:00Z
pay-000016,pay_1000403,S-10004,944586,18892,3401,2026-08-04T15:17:00Z,2026-08-05T04:53:00Z
pay-000017,pay_1000404,S-10004,2202002,44040,7927,2026-08-04T17:17:00Z,2026-08-05T04:53:00Z
pay-000018,pay_1000405,S-10004,2290116,45802,8244,2026-08-03T04:17:00Z,2026-08-05T04:53:00Z
pay-000019,pay_1000406,S-10004,410956,8219,1479,2026-08-03T17:17:00Z,2026-08-05T04:53:00Z
pay-000020,pay_1000407,S-10004,183493,3670,661,2026-08-04T17:17:00Z,2026-08-05T04:53:00Z
pay-000021,pay_1000408,S-10004,226824,4536,816,2026-08-04T04:17:00Z,2026-08-05T04:53:00Z
pay-000022,pay_1000409,S-10004,845537,16911,3044,2026-08-03T05:17:00Z,2026-08-05T04:53:00Z
pay-000023,pay_1000500,S-10005,653732,13075,2354,2026-08-05T07:04:00Z,2026-08-06T11:40:00Z
pay-000024,pay_1000501,S-10005,263226,5265,948,2026-08-04T11:04:00Z,2026-08-06T11:40:00Z
pay-000025,pay_1000502,S-10005,1883659,37673,6781,2026-08-05T06:04:00Z,2026-08-06T11:40:00Z
pay-000026,pay_1000503,S-10005,705527,14111,2540,2026-08-04T11:04:00Z,2026-08-06T11:40:00Z
pay-000027,pay_1000504,S-10005,499245,9985,1797,2026-08-05T17:04:00Z,2026-08-06T11:40:00Z
pay-000028,pay_1000600,S-10006,414396,8288,1492,2026-08-06T04:10:00Z,2026-08-07T22:09:00Z
pay-000029,pay_1000601,S-10006,1004920,20098,3618,2026-08-07T17:10:00Z,2026-08-07T22:09:00Z
pay-000030,pay_1000602,S-10006,2247303,44946,8090,2026-08-07T12:10:00Z,2026-08-07T22:09:00Z
pay-000031,pay_1000603,S-10006,723199,14464,2604,2026-08-06T15:10:00Z,2026-08-07T22:09:00Z
pay-000032,pay_1000604,S-10006,1415246,28305,5095,2026-08-07T16:10:00Z,2026-08-07T22:09:00Z
pay-000033,pay_1000605,S-10006,1645004,32900,5922,2026-08-06T14:10:00Z,2026-08-07T22:09:00Z
pay-000034,pay_1000700,S-10007,278196,5564,1002,2026-08-06T13:12:00Z,2026-08-08T11:25:00Z
pay-000035,pay_1000701,S-10007,406956,8139,1465,2026-08-07T22:12:00Z,2026-08-08T11:25:00Z
pay-000036,pay_1000702,S-10007,793516,15870,2857,2026-08-07T17:12:00Z,2026-08-08T11:25:00Z
pay-000037,pay_1000703,S-10007,2301979,46040,8287,2026-08-06T13:12:00Z,2026-08-08T11:25:00Z
pay-000038,pay_1000704,S-10007,692329,13847,2492,2026-08-07T10:12:00Z,2026-08-08T11:25:00Z
pay-000039,pay_1000705,S-10007,625954,12519,2253,2026-08-06T15:12:00Z,2026-08-08T11:25:00Z
pay-000040,pay_1000706,S-10007,829765,16595,2987,2026-08-07T14:12:00Z,2026-08-08T11:25:00Z
pay-000041,pay_1000800,S-10008,463877,9278,1670,2026-08-09T03:40:00Z,2026-08-09T14:54:00Z
pay-000042,pay_1000801,S-10008,2212007,44240,7963,2026-08-08T22:40:00Z,2026-08-09T14:54:00Z
pay-000043,pay_1000802,S-10008,588307,11766,2118,2026-08-07T22:40:00Z,2026-08-09T14:54:00Z
pay-000044,pay_1000803,S-10008,228197,4564,822,2026-08-08T22:40:00Z,2026-08-09T14:54:00Z
pay-000045,pay_1000804,S-10008,508332,10167,1830,2026-08-08T02:40:00Z,2026-08-09T14:54:00Z
pay-000046,pay_1000805,S-10008,2195548,43911,7904,2026-08-09T02:40:00Z,2026-08-09T14:54:00Z
pay-000047,pay_1000900,S-10009,1307779,26156,4708,2026-08-09T00:55:00Z,2026-08-10T19:36:00Z
pay-000048,pay_1000901,S-10009,625656,12513,2252,2026-08-09T13:55:00Z,2026-08-10T19:36:00Z
pay-000049,pay_1000902,S-10009,606993,12140,2185,2026-08-09T16:55:00Z,2026-08-10T19:36:00Z
pay-000050,pay_1000903,S-10009,1959935,39199,7056,2026-08-08T22:55:00Z,2026-08-10T19:36:00Z
pay-000051,pay_1000904,S-10009,356332,7127,1283,2026-08-09T13:55:00Z,2026-08-10T19:36:00Z
pay-000052,pay_1000905,S-10009,1430242,28605,5149,2026-08-09T02:55:00Z,2026-08-10T19:36:00Z
pay-000053,pay_1000906,S-10009,1008318,20166,3630,2026-08-10T11:55:00Z,2026-08-10T19:36:00Z
pay-000054,pay_1000907,S-10009,1022018,20440,3679,2026-08-09T15:55:00Z,2026-08-10T19:36:00Z
pay-000055,pay_1000908,S-10009,1595583,31912,5744,2026-08-09T21:55:00Z,2026-08-10T19:36:00Z
pay-000056,pay_1000909,S-10009,2183024,43660,7859,2026-08-10T05:55:00Z,2026-08-10T19:36:00Z
pay-000057,pay_1000910,S-10009,2024104,40482,7287,2026-08-09T02:55:00Z,2026-08-10T19:36:00Z
pay-000058,pay_1000911,S-10009,2461611,49232,8862,2026-08-09T07:55:00Z,2026-08-10T19:36:00Z
pay-000059,pay_1001000,S-10010,1945590,38912,7004,2026-08-10T09:07:00Z,2026-08-11T15:30:00Z
pay-000060,pay_1001001,S-10010,2127664,42553,7660,2026-08-09T17:07:00Z,2026-08-11T15:30:00Z
pay-000061,pay_1001002,S-10010,1368440,27369,4926,2026-08-10T14:07:00Z,2026-08-11T15:30:00Z
pay-000062,pay_1001003,S-10010,2132606,42652,7677,2026-08-10T23:07:00Z,2026-08-11T15:30:00Z
pay-000063,pay_1001004,S-10010,1393165,27863,5015,2026-08-09T17:07:00Z,2026-08-11T15:30:00Z
pay-000064,pay_1001005,S-10010,317443,6349,1143,2026-08-09T21:07:00Z,2026-08-11T15:30:00Z
pay-000065,pay_1001006,S-10010,2045853,40917,7365,2026-08-10T15:07:00Z,2026-08-11T15:30:00Z
pay-000066,pay_1001007,S-10010,2104202,42084,7575,2026-08-10T10:07:00Z,2026-08-11T15:30:00Z
pay-000067,pay_1001008,S-10010,553276,11066,1992,2026-08-09T17:07:00Z,2026-08-11T15:30:00Z
pay-000068,pay_1001009,S-10010,1809125,36183,6513,2026-08-09T11:07:00Z,2026-08-11T15:30:00Z
pay-000069,pay_1001100,S-10011,1915197,38304,6895,2026-08-11T09:45:00Z,2026-08-14T22:32:00Z
pay-000070,pay_1001101,S-10011,737113,14742,2654,2026-08-11T07:45:00Z,2026-08-14T22:32:00Z
pay-000071,pay_1001102,S-10011,1626374,32527,5855,2026-08-10T22:45:00Z,2026-08-14T22:32:00Z
pay-000072,pay_1001103,S-10011,2359537,47191,8494,2026-08-11T20:45:00Z,2026-08-14T22:32:00Z
pay-000073,pay_1001104,S-10011,1873684,37474,6745,2026-08-12T02:45:00Z,2026-08-14T22:32:00Z
pay-000074,pay_1001105,S-10011,152887,3058,550,2026-08-11T16:45:00Z,2026-08-14T22:32:00Z
pay-000075,pay_1001106,S-10011,2146475,42930,7727,2026-08-12T14:45:00Z,2026-08-14T22:32:00Z
pay-000076,pay_1001107,S-10011,2377456,47549,8559,2026-08-10T23:45:00Z,2026-08-14T22:32:00Z
pay-000077,pay_1001108,S-10011,1869717,37394,6731,2026-08-11T05:45:00Z,2026-08-14T22:32:00Z
pay-000078,pay_1001200,S-10012,2224337,44487,8008,2026-08-13T01:24:00Z,2026-08-13T16:22:00Z
pay-000079,pay_1001201,S-10012,594049,11881,2139,2026-08-12T10:24:00Z,2026-08-13T16:22:00Z
pay-000080,pay_1001202,S-10012,1519667,30393,5471,2026-08-11T20:24:00Z,2026-08-13T16:22:00Z
pay-000081,pay_1001203,S-10012,822164,16443,2960,2026-08-12T09:24:00Z,2026-08-13T16:22:00Z
pay-000082,pay_1001204,S-10012,2485098,49702,8946,2026-08-13T01:24:00Z,2026-08-13T16:22:00Z
pay-000083,pay_1001205,S-10012,644567,12891,2320,2026-08-12T05:24:00Z,2026-08-13T16:22:00Z
pay-000084,pay_1001206,S-10012,284007,5680,1022,2026-08-12T10:24:00Z,2026-08-13T16:22:00Z
pay-000085,pay_1001207,S-10012,1170787,23416,4215,2026-08-12T00:24:00Z,2026-08-13T16:22:00Z
pay-000086,pay_1001208,S-10012,2167688,43354,7804,2026-08-11T19:24:00Z,2026-08-13T16:22:00Z
pay-000087,pay_1001209,S-10012,157884,3158,568,2026-08-13T01:24:00Z,2026-08-13T16:22:00Z
pay-000088,pay_1001210,S-10012,311945,6239,1123,2026-08-12T12:24:00Z,2026-08-13T16:22:00Z
pay-000089,pay_1001300,S-10013,1832922,36658,6598,2026-08-12T21:04:00Z,2026-08-14T22:15:00Z
