row_id,settlement_id,merchant_id,utr,net_amount_paise,fees_paise,tax_paise,created_at,settled_at,status,ingested_at
stl-000001,S-10001,MERCH-DYNE,DYNE26080210001,9794199,200620,36112,2026-08-02T05:45:00Z,2026-08-02T11:45:00Z,processed,2026-08-02T11:53:00Z
stl-000002,S-10002,MERCH-BOLT,BOLT26080310002,6412063,131341,23642,2026-08-03T08:34:00Z,2026-08-03T10:34:00Z,processed,2026-08-03T11:47:00Z
stl-000003,S-10003,MERCH-BOLT,BOLT26080410003,12013793,246084,44297,2026-08-04T06:15:00Z,2026-08-04T13:15:00Z,processed,2026-08-04T13:21:00Z
stl-000004,S-10004,MERCH-BOLT,BOLT26080510004,5787967,118557,21340,2026-08-05T01:07:00Z,2026-08-05T09:07:00Z,processed,2026-08-05T10:14:00Z
stl-000005,S-10005,MERCH-ACME,ACME26080610005,10190026,208727,37570,2026-08-06T05:27:00Z,2026-08-06T08:27:00Z,processed,2026-08-06T09:19:00Z
stl-000006,S-10006,MERCH-EVER,EVER26080710006,1821153,37303,6715,2026-08-07T15:07:00Z,2026-08-07T17:07:00Z,processed,2026-08-07T17:37:00Z
stl-000007,S-10007,MERCH-BOLT,BOLT26080810007,6523388,133621,24052,2026-08-08T20:51:00Z,2026-08-08T23:51:00Z,processed,2026-08-09T01:28:00Z
stl-000008,S-10007,MERCH-BOLT,BOLT26080810007,6439659,133621,24052,2026-08-08T20:51:00Z,2026-08-08T23:51:00Z,processed,2026-08-09T01:28:00Z
stl-000009,S-10008,MERCH-ACME,ACME26080910008,3459901,80150,14427,2026-08-09T06:12:00Z,2026-08-09T08:12:00Z,processed,2026-08-09T08:33:00Z
stl-000010,S-10009,MERCH-EVER,EVER26081010009,5379522,153448,27620,2026-08-10T21:42:00Z,2026-08-11T03:42:00Z,processed,2026-08-11T04:46:00Z
stl-000011,S-10010,MERCH-DYNE,DYNE26081110010,7245408,204871,36877,2026-08-11T21:56:00Z,2026-08-12T03:56:00Z,processed,2026-08-12T04:48:00Z
stl-000012,S-10011,MERCH-EVER,EVER26081210011,14299848,292910,52725,2026-08-12T09:41:00Z,2026-08-13T14:41:00Z,processed,2026-08-13T16:22:00Z
stl-000013,S-10012,MERCH-DYNE,DYNE26081310012,14403630,295035,53105,2026-08-13T01:45:00Z,2026-08-13T07:45:00Z,processed,2026-08-13T09:22:00Z
stl-000014,S-10013,MERCH-ACME,ACME26081410013,14785365,302855,54514,2026-08-14T05:49:00Z,2026-08-14T11:49:00Z,processed,2026-08-14T12:58:00Z
stl-000015,S-10014,MERCH-EVER,EVER26081510014,9356600,201998,36361,2026-08-15T04:00:00Z,2026-08-15T06:00:00Z,processed,2026-08-15T06:38:00Z
stl-000016,S-10015,MERCH-BOLT,BOLT26080210015,12045171,246727,44411,2026-08-02T09:02:00Z,2026-08-02T13:02:00Z,processed,2026-08-02T14:36:00Z
stl-000017,S-10016,MERCH-ACME,ACME26081710016,5819090,175884,31659,2026-08-17T13:30:00Z,2026-08-17T17:30:00Z,processed,2026-08-17T18:03:00Z
stl-000018,S-10017,MERCH-BOLT,BOLT26081810017,8309808,170214,30638,2026-08-18T19:01:00Z,2026-08-18T21:01:00Z,processed,2026-08-18T22:15:00Z
stl-000019,S-10018,MERCH-CRUX,CRUX26081910018,7946944,162781,29300,2026-08-19T15:14:00Z,2026-08-19T17:14:00Z,processed,2026-08-19T17:23:00Z
stl-000020,S-10019,MERCH-ACME,ACME26082010019,7869057,161186,29014,2026-08-20T01:43:00Z,2026-08-20T09:43:00Z,processed,2026-08-20T09:51:00Z
stl-000021,S-10020,MERCH-ACME,ACME26082110020,6962115,142607,25670,2026-08-21T16:03:00Z,2026-08-21T21:03:00Z,processed,2026-08-21T21:48:00Z
stl-000022,S-10021,MERCH-ACME,ACME26082210021,4816244,98653,17758,2026-08-22T04:00:00Z,2026-08-22T09:00:00Z,processed,2026-08-22T10:32:00Z
stl-000023,S-10021,MERCH-ACME,ACME26082210021,4735702,98653,17758,2026-08-22T04:00:00Z,2026-08-22T09:00:00Z,processed,2026-08-22T10:32:00Z
stl-000024,S-10022,MERCH-ACME,ACME26082310022,5603766,114785,20663,2026-08-23T12:11:00Z,2026-08-23T18:11:00Z,processed,2026-08-23T19:40:00Z
stl-000025,S-10022-B,MERCH-ACME,ACME26082310022,5569276,114785,20663,2026-08-23T12:11:00Z,2026-08-23T18:11:00Z,processed,2026-08-23T19:40:00Z
stl-000026,S-10023,MERCH-DYNE,DYNE26082410023,7155536,146569,26383,2026-08-24T21:57:00Z,2026-08-25T05:57:00Z,processed,2026-08-25T07:42:00Z
