row_id,refund_id,settlement_id,payment_id,amount_paise,processed_at,ingested_at
ref-000001,rfnd_1000800,S-10008,pay_1000802,147077,2026-08-08T11:40:00Z,2026-08-09T14:54:00Z
ref-000002,rfnd_1000801,S-10008,pay_1000804,127083,2026-08-08T12:40:00Z,2026-08-09T14:54:00Z
ref-000003,rfnd_1000900,S-10009,pay_1000907,255504,2026-08-10T02:55:00Z,2026-08-10T19:36:00Z
ref-000004,rfnd_1000901,S-10009,pay_1000903,1959935,2026-08-10T10:55:00Z,2026-08-10T19:36:00Z
ref-000005,rfnd_1000902,S-10009,pay_1000910,1012052,2026-08-10T01:55:00Z,2026-08-10T19:36:00Z
ref-000006,rfnd_1001000,S-10010,pay_1001004,1393165,2026-08-10T14:07:00Z,2026-08-11T15:30:00Z
ref-000007,rfnd_1001001,S-10010,pay_1001000,1945590,2026-08-11T06:07:00Z,2026-08-11T15:30:00Z
ref-000008,rfnd_1001002,S-10010,pay_1001007,526050,2026-08-11T00:07:00Z,2026-08-11T15:30:00Z
ref-000009,rfnd_1001600,S-10016,pay_1001609,173050,2026-08-17T02:03:00Z,2026-08-17T11:21:00Z
ref-000010,rfnd_1001601,S-10016,pay_1001601,452532,2026-08-17T08:03:00Z,2026-08-17T11:21:00Z
ref-000011,rfnd_1001602,S-10016,pay_1001600,355470,2026-08-17T07:03:00Z,2026-08-17T11:21:00Z
ref-000012,rfnd_1003800,S-10038,pay_1003808,509501,2026-08-15T17:42:00Z,2026-08-16T14:50:00Z
ref-000013,rfnd_1003801,S-10038,pay_1003806,103844,2026-08-16T04:42:00Z,2026-08-16T14:50:00Z
ref-000014,rfnd_1003802,S-10038,pay_1003803,798770,2026-08-15T17:42:00Z,2026-08-16T14:50:00Z
ref-000015,rfnd_1003900,S-10039,pay_1003900,412244,2026-08-17T08:56:00Z,2026-08-17T21:48:00Z
ref-000016,rfnd_1003901,S-10039,pay_1003901,29744,2026-08-17T12:56:00Z,2026-08-17T21:48:00Z
ref-000017,rfnd_1007200,S-10072,pay_1007200,427032,2026-08-03T07:14:00Z,2026-08-04T05:37:00Z
ref-000018,rfnd_1007201,S-10072,pay_1007203,135142,2026-08-03T21:14:00Z,2026-08-04T05:37:00Z
ref-000019,rfnd_1007202,S-10072,pay_1007206,1431360,2026-08-04T01:14:00Z,2026-08-04T05:37:00Z
ref-000020,rfnd_8001200,S-80012,pay_8001200,120000,2026-09-02T13:00:00Z,2026-09-03T06:00:00Z
ref-000021,rfnd_8001700,S-80017,pay_8001700,200000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
ref-000022,rfnd_8001701,S-80017,pay_8001701,201000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
ref-000023,rfnd_8001702,S-80017,pay_8001702,202000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
ref-000024,rfnd_8001800,S-80018,pay_8001800,100000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
ref-000025,rfnd_8002000,S-80020,pay_8002000,200000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
ref-000026,rfnd_8002001,S-80020,pay_8002001,201000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
ref-000027,rfnd_8002002,S-80020,pay_8002002,202000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
ref-000028,rfnd_8002100,S-80021,pay_8002100,90000,2026-08-21T18:00:00Z,2026-08-21T06:00:00Z
ref-000029,rfnd_8002700,S-80027,pay_8002700,900000,2026-08-20T13:00:00Z,2026-08-21T06:00:00Z
