case_id,settlement_id,merchant_id,razorpay_payment_ids,settlement_amount,bank_credit,fee,refund,utr,event_time,decision_time,policy_version,agent_claim
B001,S-10001,MERCH-DYNE,pay_1000100;pay_1000101;pay_1000102;pay_1000103,"61,840.92","61,840.92","1,266.72",0.00,DYNE26080210001,2026-08-02T05:45:00Z,2026-08-02T17:45:00Z,finance-policy-v11,RECONCILED
B002,S-10002,MERCH-CRUX,pay_1000200;pay_1000201;pay_1000202;pay_1000203;pay_1000204,68529.02,68529.02,1403.70,0.00,CRUX26080310002,08/03/2026 17:51,2026-08-04T03:51:00Z,finance-policy-v11,RECONCILED
B003,S-10003,MERCH-DYNE,pay_1000300;pay_1000301;pay_1000302,"₹45,969.80","₹45,969.80",₹941.62,₹0.00,DYNE26080410003,2026-08-04 07:18:00,2026-08-05T05:18:00Z,finance-policy-v11,RECONCILED
B004,S-10004,MERCH-DYNE,pay_1000400;pay_1000401;pay_1000402;pay_1000403;pay_1000404;pay_1000405;pay_1000406;pay_1000407;pay_1000408;pay_1000409,"Rs. 1,12,335.17","Rs. 1,12,335.17","Rs. 2,301.01",Rs. 0.00,DYNE26080510004,2026-08-05T01:17:00Z,2026-08-06T01:17:00Z,finance-policy-v11,RECONCILED
B005,S-10005,MERCH-CRUX,pay_1000500;pay_1000501;pay_1000502;pay_1000503;pay_1000504,"39,108.60","39,108.60",801.09,0.00,CRUX26080610005,08/06/2026 07:04,2026-08-07T02:04:00Z,finance-policy-v11,RECONCILED
B006,S-10006,MERCH-ACME,pay_1000600;pay_1000601;pay_1000602;pay_1000603;pay_1000604;pay_1000605,72742.46,72742.46,1490.01,0.00,ACME26080710006,2026-08-07 19:10:00,2026-08-08T13:10:00Z,finance-policy-v11,RECONCILED
B007,S-10007,MERCH-DYNE,pay_1000700;pay_1000701;pay_1000702;pay_1000703;pay_1000704;pay_1000705;pay_1000706,"₹57,887.78","₹57,887.78","₹1,185.74",₹0.00,DYNE26080810007,2026-08-08T03:12:00Z,2026-08-08T17:12:00Z,finance-policy-v11,RECONCILED
B008,S-10008,MERCH-ACME,pay_1000800;pay_1000801;pay_1000802;pay_1000803;pay_1000804;pay_1000805,"Rs. 57,758.75","Rs. 57,758.75","Rs. 1,239.26","Rs. 2,741.60",ACME26080910008,08/09/2026 06:40,2026-08-10T01:40:00Z,finance-policy-v11,RECONCILED
B009,S-10009,MERCH-CRUX,pay_1000900;pay_1000901;pay_1000902;pay_1000903;pay_1000904;pay_1000905;pay_1000906;pay_1000907;pay_1000908;pay_1000909;pay_1000910;pay_1000911,"1,29,627.78","1,29,627.78","3,316.32","32,274.91",CRUX26081010009,2026-08-10 15:55:00,2026-08-11T09:55:00Z,finance-policy-v11,RECONCILED
B010,S-10010,MERCH-BOLT,pay_1001000;pay_1001001;pay_1001002;pay_1001003;pay_1001004;pay_1001005;pay_1001006;pay_1001007;pay_1001008;pay_1001009,"1,15,597.41","1,15,597.41","3,159.48","38,648.05",BOLT26081110010,2026-08-11T07:07:00Z,2026-08-12T04:07:00Z,finance-policy-v11,RECONCILED
B011,S-10011,MERCH-EVER,pay_1001100;pay_1001101;pay_1001102;pay_1001103;pay_1001104;pay_1001105;pay_1001106;pay_1001107;pay_1001108,147030.61,147030.61,3011.69,0.00,EVER26081210011,08/12/2026 15:45,2026-08-15T15:45:00Z,finance-policy-v12,RECONCILED
B012,S-10012,MERCH-DYNE,pay_1001200;pay_1001201;pay_1001202;pay_1001203;pay_1001204;pay_1001205;pay_1001206;pay_1001207;pay_1001208;pay_1001209;pay_1001210,"₹1,20,899.73","₹1,20,899.73","₹2,476.44",₹0.00,DYNE26081310012,2026-08-13 08:24:00,2026-08-14T10:24:00Z,finance-policy-v12,RECONCILED
B013,S-10013,MERCH-EVER,pay_1001300;pay_1001301;pay_1001302;pay_1001303;pay_1001304,"Rs. 48,432.13","Rs. 48,432.13",Rs. 992.05,Rs. 0.00,EVER26081410013,2026-08-14T16:04:00Z,2026-08-15T15:04:00Z,finance-policy-v12,RECONCILED
B014,S-10014,MERCH-BOLT,pay_1001400;pay_1001401;pay_1001402;pay_1001403,"38,603.13","38,603.13",833.40,0.00,BOLT26081510014,08/15/2026 06:12,2026-08-15T20:12:00Z,finance-policy-v12,RECONCILED
B015,S-10015,MERCH-EVER,pay_1001500;pay_1001501;pay_1001502;pay_1001503,49768.47,49768.47,1019.43,0.00,EVER26080210015,2026-08-02 13:27:00,2026-08-03T01:27:00Z,finance-policy-v12,RECONCILED
B016,S-10016,MERCH-EVER,pay_1001600;pay_1001601;pay_1001602;pay_1001603;pay_1001604;pay_1001605;pay_1001606;pay_1001607;pay_1001608;pay_1001609,"₹1,18,061.82","₹1,18,061.82","₹2,619.26","₹9,810.52",EVER26081710016,2026-08-17T09:03:00Z,2026-08-18T05:03:00Z,finance-policy-v12,RECONCILED
B017,S-10017,MERCH-BOLT,pay_1001700;pay_1001701;pay_1001702;pay_1001703;pay_1001704,"Rs. 79,179.27","Rs. 79,179.27","Rs. 1,621.86",Rs. 0.00,BOLT26081810017,08/18/2026 18:48,2026-08-19T14:48:00Z,finance-policy-v12,RECONCILED
B018,S-10018,MERCH-EVER,pay_1001800;pay_1001801;pay_1001802;pay_1001803;pay_1001804,"84,698.46","84,698.46","1,734.92",0.00,EVER26081910018,2026-08-19 03:58:00,2026-08-19T18:58:00Z,finance-policy-v12,RECONCILED
B019,S-10019,MERCH-ACME,,78690.57,78690.57,1611.86,0.00,ACME26082010019,2026-08-20T01:43:00Z,2026-08-21T05:43:00Z,finance-policy-v12,RECONCILED
B020,S-10020,MERCH-ACME,pay_1002000;pay_1002001;pay_1002002;pay_1002003;pay_1002004;pay_1002005,69621.15,69621.15,1426.07,0.00,ACME26082110020,08/21/2026 16:03,2026-08-22T15:03:00Z,finance-policy-v12,RECONCILED
B021,S-10021,MERCH-ACME,pay_1002100;pay_1002101;pay_1002102,"₹48,162.44","₹48,162.44",₹986.53,₹0.00,ACME26082210021,2026-08-22 04:00:00,2026-08-22T19:00:00Z,finance-policy-v12,RECONCILED
B022,S-10022,MERCH-ACME,pay_1002200;pay_1002201;pay_1002202;pay_1002203;pay_1002204,"Rs. 56,037.66","Rs. 56,037.66","Rs. 1,147.85",Rs. 0.00,ACME26082310022,2026-08-23T12:11:00Z,2026-08-24T06:11:00Z,finance-policy-v12,RECONCILED
B023,S-10023,MERCH-DYNE,pay_1002300;pay_1002301;pay_1002302;pay_1002303;pay_1002304;pay_1002305,"71,555.36","71,555.36","1,465.69",0.00,DYNE26082410023,08/24/2026 21:57,2026-08-26T00:57:00Z,finance-policy-v12,RECONCILED
B024,S-10024,MERCH-ACME,pay_1002400;pay_1002401;pay_1002402,49662.70,49662.70,1017.26,0.00,ACME26080210024,2026-08-02 22:00:00,2026-08-03T08:00:00Z,finance-policy-v11,RECONCILED
B025,S-10025,MERCH-BOLT,pay_1002500;pay_1002501;pay_1002502;pay_1002503;pay_1002504;pay_1002505;pay_1002506,"₹91,091.61","₹91,091.61","₹2,182.23",₹0.00,BOLT26081310025,2026-08-13T21:45:00Z,2026-08-14T16:45:00Z,finance-policy-v12,RECONCILED
B026,S-10026,MERCH-DYNE,pay_1002600;pay_1002601;pay_1002602;pay_1002603;pay_1002604;pay_1002605;pay_1002606;pay_1002607;pay_1002608,"Rs. 1,08,921.76","Rs. 1,08,921.76","Rs. 2,231.09",Rs. 0.00,DYNE26080610026,08/06/2026 18:14,2026-08-07T15:14:00Z,finance-policy-v12,RECONCILED
B027,S-10027,MERCH-ACME,pay_1002700;pay_1002701;pay_1002702;pay_1002703;pay_1002704;pay_1002705;pay_1002706;pay_1002707;pay_1002708,"91,124.19","91,124.19","1,866.55",0.00,ACME26080510027,2026-08-05 17:33:00,2026-08-06T03:33:00Z,finance-policy-v11,RECONCILED
B028,S-10028,MERCH-CRUX,pay_1002800;pay_1002801;pay_1002802;pay_1002803;pay_1002804;pay_1002805;pay_1002806;pay_1002807;pay_1002808;pay_1002809;pay_1002810,118998.45,118998.45,2437.49,0.00,CRUX26080610028,2026-08-06T12:22:00Z,2026-08-07T02:22:00Z,finance-policy-v11,RECONCILED
B029,S-10029,MERCH-EVER,pay_1002900;pay_1002901;pay_1002902;pay_1002903;pay_1002904;pay_1002905,"₹70,076.93","₹70,076.93","₹1,435.41",₹0.00,EVER26080710029,08/07/2026 04:47,2026-08-08T07:47:00Z,finance-policy-v11,RECONCILED
B030,S-10030,MERCH-DYNE,pay_1003000;pay_1003001;pay_1003002,"₹25,148.87","₹25,148.87",₹515.14,₹0.00,DYNE26080810030,2026-08-08 03:30:00,2026-08-09T04:30:00Z,finance-policy-v11,RECONCILED
B031,S-10031,MERCH-ACME,pay_1003100;pay_1003101;pay_1003102;pay_1003103;pay_1003104;pay_1003105;pay_1003106;pay_1003107;pay_1003108;pay_1003109;pay_1003110;pay_1003111,"Rs. 1,45,548.56","Rs. 1,45,548.56","Rs. 3,057.87",Rs. 0.00,ACME26081910031,2026-08-19T16:13:00Z,2026-08-20T13:13:00Z,finance-policy-v12,RECONCILED
