row_id,event_id,settlement_id,utr,event_type,amount_paise,received_at,ingested_at
whk-000001,evt_10001,S-10001,DYNE26080210001,settlement.processed,6184092,2026-08-02T11:59:00Z,2026-08-02T12:37:00Z
whk-000002,evt_10002,S-10002,CRUX26080310002,settlement.processed,6852902,2026-08-03T20:00:00Z,2026-08-03T21:26:00Z
whk-000003,evt_10003,S-10003,DYNE26080410003,settlement.processed,4596980,2026-08-04T09:41:00Z,2026-08-04T10:09:00Z
whk-000004,evt_10004,S-10004,DYNE26080510004,settlement.processed,11233517,2026-08-05T04:33:00Z,2026-08-05T04:53:00Z
whk-000005,evt_10005,S-10005,CRUX26080610005,settlement.processed,3910860,2026-08-06T11:19:00Z,2026-08-06T11:40:00Z
whk-000006,evt_10006,S-10006,ACME26080710006,settlement.processed,7274246,2026-08-07T21:14:00Z,2026-08-07T22:09:00Z
whk-000007,evt_10007,S-10007,DYNE26080810007,settlement.processed,5788778,2026-08-08T11:25:00Z,2026-08-08T11:25:00Z
whk-000008,evt_10008,S-10008,ACME26080910008,settlement.processed,5775875,2026-08-09T15:09:00Z,2026-08-09T14:54:00Z
whk-000009,evt_10009,S-10009,CRUX26081010009,settlement.processed,12962778,2026-08-10T19:16:00Z,2026-08-10T19:36:00Z
whk-000010,evt_10010,S-10010,BOLT26081110010,settlement.processed,11559741,2026-08-11T14:20:00Z,2026-08-11T15:30:00Z
whk-000011,evt_10011,S-10011,EVER26081210011,settlement.processed,14703061,2026-08-14T22:04:00Z,2026-08-14T22:32:00Z
whk-000012,evt_10012,S-10012,DYNE26081310012,settlement.processed,12089973,2026-08-13T15:38:00Z,2026-08-13T16:22:00Z
whk-000013,evt_10013,S-10013,EVER26081410013,settlement.processed,4843213,2026-08-14T21:11:00Z,2026-08-14T22:15:00Z
whk-000014,evt_10014,S-10014,BOLT26081510014,settlement.processed,3860313,2026-08-15T08:21:00Z,2026-08-15T09:00:00Z
whk-000015,evt_10015,S-10015,EVER26080210015,settlement.processed,4976847,2026-08-02T18:33:00Z,2026-08-02T20:11:00Z
whk-000016,evt_10016,S-10016,EVER26081710016,settlement.processed,11806182,2026-08-17T11:33:00Z,2026-08-17T11:21:00Z
whk-000017,evt_10017,S-10017,BOLT26081810017,settlement.processed,7917927,2026-08-19T02:56:00Z,2026-08-19T04:32:00Z
whk-000018,evt_10018,S-10018,EVER26081910018,settlement.processed,8469846,2026-08-19T06:03:00Z,2026-08-19T06:11:00Z
whk-000019,evt_10019,S-10019,ACME26082010019,settlement.processed,7869057,2026-08-20T10:09:00Z,2026-08-20T09:51:00Z
whk-000020,evt_10020,S-10020,ACME26082110020,settlement.processed,6962115,2026-08-21T21:05:00Z,2026-08-21T21:48:00Z
whk-000021,evt_10021,S-10021,ACME26082210021,settlement.processed,4816244,2026-08-22T09:19:00Z,2026-08-22T10:32:00Z
whk-000022,evt_10022,S-10022,ACME26082310022,settlement.processed,5603766,2026-08-23T18:26:00Z,2026-08-23T19:40:00Z
whk-000023,evt_10023,S-10023,DYNE26082410023,settlement.processed,7155536,2026-08-25T06:20:00Z,2026-08-25T07:42:00Z
whk-000024,evt_10024,S-10024,ACME26080210024,settlement.processed,4966270,2026-08-03T00:05:00Z,2026-08-03T00:06:00Z
whk-000025,evt_10025,S-10025,BOLT26081310025,settlement.processed,9109161,2026-08-14T05:13:00Z,2026-08-14T05:04:00Z
whk-000026,evt_10026,S-10026,DYNE26080610026,settlement.processed,10892176,2026-08-07T00:26:00Z,2026-08-07T00:46:00Z
whk-000027,evt_10027,S-10027,ACME26080510027,settlement.processed,9112419,2026-08-05T21:03:00Z,2026-08-05T22:22:00Z
whk-000028,evt_10028,S-10028,CRUX26080610028,settlement.processed,11899845,2026-08-06T16:47:00Z,2026-08-06T16:42:00Z
whk-000029,evt_10029,S-10029,EVER26080710029,settlement.processed,7007693,2026-08-07T10:14:00Z,2026-08-07T10:09:00Z
whk-000030,evt_10030,S-10030,DYNE26080810030,settlement.processed,2514887,2026-08-08T09:42:00Z,2026-08-08T10:01:00Z
whk-000031,evt_10031,S-10031,ACME26081910031,settlement.processed,14554856,2026-08-19T21:17:00Z,2026-08-19T21:59:00Z
whk-000032,evt_10032,S-10032,BOLT26081010032,settlement.processed,8836888,2026-08-10T16:00:00Z,2026-08-10T16:36:00Z
whk-000033,evt_10033,S-10033,BOLT26080610033,settlement.processed,12227533,2026-08-07T02:47:00Z,2026-08-07T03:35:00Z
whk-000034,evt_10034,S-10034,CRUX26081210034,settlement.processed,10514484,2026-08-12T16:52:00Z,2026-08-12T18:23:00Z
whk-000035,evt_10035,S-10035,EVER26081310035,settlement.processed,7077451,2026-08-13T08:00:00Z,2026-08-13T08:33:00Z
whk-000036,evt_10036,S-10036,ACME26081410036,settlement.processed,15285372,2026-08-14T22:07:00Z,2026-08-14T22:01:00Z
whk-000037,evt_10037,S-10037,EVER26081510037,settlement.processed,6340171,2026-08-16T01:40:00Z,2026-08-16T02:28:00Z
whk-000038,evt_10038,S-10038,CRUX26081610038,settlement.processed,15235426,2026-08-16T14:57:00Z,2026-08-16T14:50:00Z
whk-000039,evt_10039,S-10039,CRUX26081710039,settlement.processed,2409080,2026-08-17T21:14:00Z,2026-08-17T21:48:00Z
whk-000040,evt_10040,S-10040,BOLT26081810040,settlement.processed,6570165,2026-08-19T01:03:00Z,2026-08-19T01:33:00Z
whk-000041,evt_10041,S-10041,ACME26081910041,settlement.processed,10360335,2026-08-19T06:09:00Z,2026-08-19T07:15:00Z
whk-000042,evt_10042,S-10042,BOLT26082010042,settlement.processed,13347453,2026-08-20T23:38:00Z,2026-08-21T00:30:00Z
whk-000043,evt_10043,S-10043,EVER26082110043,settlement.processed,9963768,2026-08-22T02:52:00Z,2026-08-22T03:05:00Z
whk-000044,evt_10044,S-10044,EVER26082210044,settlement.processed,11511887,2026-08-22T10:06:00Z,2026-08-22T10:34:00Z
whk-000045,evt_10045,S-10045,BOLT26082310045,settlement.processed,2905269,2026-08-24T05:09:00Z,2026-08-24T06:18:00Z
whk-000046,evt_10046,S-10046,ACME26082410046,settlement.processed,14026673,2026-08-24T10:47:00Z,2026-08-24T11:55:00Z
whk-000047,evt_10047,S-10047,ACME26080210047,settlement.processed,15179632,2026-08-04T23:27:00Z,2026-08-05T00:49:00Z
whk-000048,evt_10048,S-10048,CRUX26080310048,settlement.processed,18996694,2026-08-03T11:40:00Z,2026-08-03T12:51:00Z
whk-000049,evt_10049,S-10049,ACME26080410049,settlement.processed,14430183,2026-08-05T01:04:00Z,2026-08-05T01:19:00Z
whk-000050,evt_10050,S-10050,BOLT26080510050,settlement.processed,4039149,2026-08-07T08:56:00Z,2026-08-07T09:34:00Z
whk-000051,evt_10051,S-10051,ACME26080610051,settlement.processed,3913591,2026-08-06T14:43:00Z,2026-08-06T16:00:00Z
whk-000052,evt_10052,S-10052,DYNE26080410052,settlement.processed,6093153,2026-08-04T10:43:00Z,2026-08-04T11:16:00Z
whk-000053,evt_10053,S-10053,ACME26081710053,settlement.processed,13290499,2026-08-18T01:27:00Z,2026-08-18T03:11:00Z
whk-000054,evt_10054,S-10054,ACME26080910054,settlement.processed,8118010,2026-08-09T18:00:00Z,2026-08-09T18:48:00Z
whk-000055,evt_10055,S-10055,DYNE26081010055,settlement.processed,12532318,2026-08-10T16:17:00Z,2026-08-10T17:04:00Z
whk-000056,evt_10056,S-10056,BOLT26081110056,settlement.processed,6585726,2026-08-12T01:42:00Z,2026-08-12T02:49:00Z
